Year,Month,Unit,Dacoity,Robbery,Murder,Speedy_Trial,Riot,Woman_Child_Repression,Kidnapping,Police_Assault,Burglary,Theft,Other_Cases,Arms_Act,Explosive_Act,Narcotics,Smuggling,Recovery_Cases,Total_Cases
2022,September,DMP,4,15,18,14,4,173,2,4,61,175,605,6,7,1241,13,1267,2342.0
2022,September,CMP,1,8,6,9,0,69,1,2,16,26,144,6,0,182,1,189,471.0
2022,September,KMP,0,2,1,1,0,20,1,0,6,7,26,1,0,83,0,84,148.0
2022,September,RMP,0,3,3,0,0,16,0,0,3,12,54,1,0,214,1,216,307.0
2022,September,BMP,2,0,1,0,0,15,0,1,5,9,41,0,0,72,0,72,146.0
2022,September,SMP,0,0,2,6,0,32,0,1,6,9,87,0,0,57,4,61,204.0
2022,September,RPMP,0,0,0,2,0,12,0,0,0,12,51,0,0,34,0,34,111.0
2022,September,GMP,3,1,3,4,0,35,1,2,4,12,68,4,1,88,0,93,226.0
2022,September,Dhaka Range,15,31,67,32,0,310,7,5,46,128,980,13,6,902,5,926,2547.0
2022,September,Mymensingh Range,3,3,23,3,0,222,7,3,4,50,512,2,0,314,53,369,1199.0
2022,September,Chittagong Range,11,21,55,15,2,230,10,11,40,107,804,36,3,1105,49,1193,2499.0
2022,September,Sylhet Range,2,2,19,3,0,109,2,3,8,59,343,1,0,203,30,234,784.0
2022,September,Khulna Range,2,3,22,6,1,202,1,4,21,101,701,7,3,650,31,691,1755.0
2022,September,Barishal Range,1,2,12,1,0,111,0,1,6,38,309,4,1,228,0,233,714.0
2022,September,Rajshahi Range,2,12,30,4,0,247,4,7,9,84,654,21,4,1083,35,1143,2196.0
2022,September,Rangpur Range,1,4,19,2,0,277,3,1,22,84,739,1,0,389,4,394,1546.0
2022,September,Railway Range,0,2,2,0,0,0,1,0,0,13,14,3,0,38,2,43,75.0
2022,October,DMP,0,9,13,31,0,158,6,7,51,119,676,5,14,1240,11,1270,2340.0
2022,October,CMP,0,5,5,4,0,56,6,2,13,32,146,3,1,182,2,188,457.0
2022,October,KMP,0,0,1,1,0,19,1,0,7,4,29,2,0,69,0,71,133.0
2022,October,RMP,0,5,0,0,0,17,1,1,1,5,51,2,0,218,0,220,301.0
2022,October,BMP,0,0,2,1,0,18,0,1,6,8,41,0,1,80,0,81,158.0
2022,October,SMP,0,1,0,8,0,34,1,0,8,6,70,1,0,61,10,72,200.0
2022,October,RPMP,0,0,1,0,0,23,0,0,0,22,48,0,0,27,0,27,121.0
2022,October,GMP,0,2,6,1,0,39,6,3,2,19,75,1,1,88,2,92,245.0
2022,October,Dhaka Range,9,24,77,33,0,320,12,9,41,126,1014,14,2,919,3,938,2603.0
2022,October,Mymensingh Range,0,3,30,5,0,179,6,3,5,46,470,2,0,306,34,342,1103.0
2022,October,Chittagong Range,16,20,38,9,0,214,9,12,42,88,932,26,2,988,40,1056,2436.0
2022,October,Sylhet Range,2,2,12,4,0,89,1,4,8,32,350,1,2,175,29,207,711.0
2022,October,Khulna Range,7,5,22,7,0,168,3,1,21,96,676,12,8,580,22,622,1628.0
2022,October,Barishal Range,1,1,11,2,0,125,1,1,19,23,496,0,0,198,0,198,878.0
2022,October,Rajshahi Range,3,17,35,7,0,208,2,4,13,75,657,26,3,1128,31,1188,2209.0
2022,October,Rangpur Range,0,5,22,4,0,260,6,2,15,64,671,0,0,348,10,358,1407.0
2022,October,Railway Range,0,3,2,0,0,1,0,1,0,19,12,5,0,33,2,40,78.0
2022,November,DMP,2,13,14,10,3,142,3,5,51,134,630,3,19,1331,9,1362,2369.0
2022,November,CMP,1,5,7,2,0,42,3,1,20,36,130,2,0,213,5,220,467.0
2022,November,KMP,0,0,1,1,0,19,0,0,3,6,26,0,0,69,0,69,125.0
2022,November,RMP,0,0,0,0,0,5,0,2,5,7,48,1,1,211,0,213,280.0
2022,November,BMP,1,0,1,2,0,11,0,0,3,9,47,0,0,88,0,88,162.0
2022,November,SMP,0,0,1,6,0,26,0,0,7,11,71,2,0,39,6,47,169.0
2022,November,RPMP,0,0,0,0,0,13,1,0,0,20,49,0,0,27,0,27,110.0
2022,November,GMP,1,2,5,2,0,33,5,6,2,11,80,4,1,116,2,123,270.0
2022,November,Dhaka Range,7,30,64,22,0,260,4,14,43,105,986,17,24,944,4,989,2324.0
2022,November,Mymensingh Range,0,2,24,3,0,159,3,2,9,45,484,3,3,382,22,410,1141.0
2022,November,Chittagong Range,6,14,38,13,0,177,8,6,27,66,787,30,5,1077,45,1157,2299.0
2022,November,Sylhet Range,0,3,16,5,0,62,2,5,4,51,352,1,0,141,21,163,663.0
2022,November,Khulna Range,4,7,23,5,0,163,0,3,21,92,658,9,5,626,26,666,1642.0
2022,November,Barishal Range,1,3,8,2,0,88,3,1,8,26,307,0,1,203,0,204,651.0
2022,November,Rajshahi Range,5,7,28,7,0,182,1,7,14,73,691,37,43,1081,32,1193,2208.0
2022,November,Rangpur Range,1,6,23,5,0,204,1,3,20,75,727,1,0,342,11,354,1419.0
2022,November,Railway Range,0,0,2,0,0,0,0,0,4,9,2,0,32,5,39,54,
2022,December,DMP,1,14,11,10,0,105,7,10,50,95,445,3,34,961,7,1605,1753.0
2022,December,CMP,0,5,4,3,0,28,1,2,13,36,116,4,1,173,4,182,390.0
2022,December,KMP,1,0,4,0,0,18,0,1,5,4,39,1,0,76,0,77,149.0
2022,December,RMP,0,0,1,0,0,16,2,0,1,4,41,0,0,206,2,208,273.0
2022,December,BMP,0,0,0,1,0,7,1,0,4,8,38,1,1,79,0,81,140.0
2022,December,SMP,0,0,0,6,0,12,0,3,2,6,58,0,0,42,12,54,141.0
2022,December,RPMP,0,0,0,2,0,5,0,0,0,10,40,0,0,33,0,33,90.0
